id_deal,id_lead,id_contacto,id_vendedor_ae,id_producto,fecha_pase_ventas,ventas_contacto_cliente,numero_toque_ae,toque_ae,fecha_primer_contacto_ae,status_venta,proyeccion,monto_cotizacion,monto_apartado,monto_cierre,fecha_reagenda,hora_reagenda,fecha_cierre,razon_perdida,descuento_pct,precio_1_year,precio_2_year,cross_selling,renovacion,es_recompra,valor_recompra,fecha_recompra,producto_recompra,es_cliente_activo,producto_cierre,fuente_origen,index_ae,tipo_transaccion,link_pago,soporte_pago,deal_code,notas_vendedor
1,5,5,4,8,3/02/2026 12:36:26,,,,4/02/2026 22:36:26,Vendido,Baja,,2380,,,,23/02/2026 12:36:26,,15,,,,,FALSE,,,,FALSE,Premium Package,Webinar,,Nueva venta,,,,Interesado en paquete premium
2,31,31,7,51,12/01/2026 3:45:37,,,,13/01/2026 12:45:37,Vendido,Baja,,3705,,,,9/02/2026 3:45:37,,20,,,,,FALSE,,,,FALSE,Premium Package,Evento,,Upgrade,,,,Tiene urgencia por certificación
3,35,35,6,56,26/01/2026 19:12:13,,,,27/01/2026 10:12:13,En negociación,Alta,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Webinar,,Nueva venta,,,,Presupuesto limitado este trimestre
4,39,39,7,3,9/01/2026 5:41:24,,,,9/01/2026 20:41:24,Apartado,Alta,,0,,,,,,15,,,,,FALSE,,,,FALSE,,Referido,,Nueva venta,,,,Compara con 2 competidores
5,49,49,6,22,11/01/2026 19:59:20,,,,12/01/2026 12:59:20,Propuesta enviada,Baja,,0,,,,,,15,,,,,FALSE,,,,FALSE,,Inbound,,Nueva venta,,,,Referido de cliente satisfecho
6,51,51,7,50,11/01/2026 3:07:13,,,,11/01/2026 19:07:13,No interesado,Baja,,0,,,,,,20,,,,,TRUE,,,,FALSE,,Referido,,Nueva venta,,,,
7,58,58,7,38,28/01/2026 8:47:09,,,,28/01/2026 13:47:09,Propuesta enviada,Baja,,0,,,,,,20,,,,,TRUE,,,,FALSE,,Outbound,,Renovación,,,,"Empresa en crecimiento, buen momento"
8,59,59,7,20,8/01/2026 14:09:23,,,,9/01/2026 22:09:23,Apartado,Baja,,6796,,,,,,20,,,,,TRUE,,,,FALSE,,Partner,,Nueva venta,,,,Necesita aprobación de junta
9,69,69,6,28,3/02/2026 5:25:09,,,,4/02/2026 0:25:09,Vendido,Alta,,0,,,,22/02/2026 5:25:09,,0,,,,,FALSE,,,,FALSE,Enterprise Bundle,Inbound,,Cross-sell,,,,Esperando respuesta de dirección
10,75,75,6,32,21/01/2026 3:48:29,,,,22/01/2026 21:48:29,Contactado,Baja,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Evento,,Cross-sell,,,,Pidió descuento adicional
11,76,76,6,1,27/01/2026 11:12:43,,,,29/01/2026 8:12:43,Apartado,Baja,,0,,,,,,5,,,,,TRUE,,,,FALSE,,Webinar,,Nueva venta,,,,Presupuesto limitado este trimestre
12,90,90,7,27,27/02/2026 15:25:26,,,,28/02/2026 13:25:26,Stand-by,Alta,,0,,,,,,5,,,,,FALSE,,,,FALSE,,Inbound,,Re-compra,,,,Necesita aprobación de junta
13,98,98,6,5,11/02/2026 10:23:21,,,,13/02/2026 6:23:21,No interesado,Alta,,0,,,,,,20,,,,,FALSE,,,,FALSE,,Webinar,,Nueva venta,,,,
14,104,104,7,22,2/03/2026 22:45:27,,,,3/03/2026 9:45:27,Stand-by,Alta,,0,,,,,,10,,,,,FALSE,,,,FALSE,,Outbound,,Nueva venta,,,,Tiene urgencia por certificación
15,115,115,6,5,21/02/2026 1:35:16,,,,21/02/2026 21:35:16,Perdido,Alta,,0,,,,23/03/2026 1:35:16,Sin presupuesto,0,,,,,FALSE,,,,FALSE,,Referido,,Nueva venta,,,,
16,123,123,6,13,28/02/2026 18:26:12,,,,1/03/2026 23:26:12,Vendido,Baja,,5502,,,,13/03/2026 18:26:12,,15,,,,,FALSE,,,,FALSE,1 Year Membership,Webinar,,Upgrade,,,,
17,133,133,7,21,9/02/2026 15:01:38,,,,11/02/2026 0:01:38,Reagendado,Baja,,0,,,,,,0,,,,,FALSE,,,,TRUE,,Outbound,,Nueva venta,,,,En proceso de evaluación interna
18,135,135,7,6,25/02/2026 23:03:44,,,,26/02/2026 3:03:44,Vendido,Alta,,4555,,,,14/03/2026 23:03:44,,20,,,,,FALSE,,,,FALSE,1 Year Membership,Referido,,Renovación,,,,Referido de cliente satisfecho
19,144,144,6,51,6/02/2026 17:33:24,,,,8/02/2026 12:33:24,Stand-by,Baja,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Outbound,,Nueva venta,,,,Compara con 2 competidores
20,149,149,7,10,2/03/2026 13:53:25,,,,3/03/2026 9:53:25,En negociación,Media,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Webinar,,Nueva venta,,,,Interesado en paquete premium
21,151,151,6,19,19/02/2026 5:35:27,,,,19/02/2026 10:35:27,En negociación,Media,,0,,,,,,0,,,,,FALSE,,,,FALSE,,Webinar,,Upgrade,,,,
22,154,154,6,38,14/02/2026 11:28:48,,,,15/02/2026 2:28:48,Vendido,Alta,,1931,,,,11/03/2026 11:28:48,,0,,,,,TRUE,,,,FALSE,1 Year Membership,Evento,,Renovación,,,,"Empresa en crecimiento, buen momento"
23,155,155,7,7,9/02/2026 12:47:00,,,,11/02/2026 3:47:00,Recien llegado,Media,,0,,,,,,20,,,,,FALSE,,,,FALSE,,Partner,,Nueva venta,,,,En proceso de evaluación interna
24,158,158,6,7,26/02/2026 16:17:17,,,,27/02/2026 0:17:17,Perdido,Media,,0,,,,8/03/2026 16:17:17,No era el perfil,0,,,,,FALSE,,,,FALSE,,Outbound,,Nueva venta,,,,"Empresa en crecimiento, buen momento"
25,159,159,6,12,5/02/2026 3:57:26,,,,6/02/2026 4:57:26,Reagendado,Baja,,0,,,,,,10,,,,,FALSE,,,,FALSE,,Evento,,Renovación,,,,Esperando respuesta de dirección
26,160,160,6,44,22/02/2026 14:56:47,,,,23/02/2026 20:56:47,Apartado,Baja,,3929,,,,,,0,,,,,FALSE,,,,FALSE,,Partner,,Renovación,,,,Quiere cerrar antes de fin de mes
