id_calificacion	id_lead	entendio_info_marketing	mostro_interes_genuino	necesidad_puntual	perfil_adecuado	necesita_decision_tercero	tiene_presupuesto	monto_presupuesto	asociacion_industria	region	tipo_membresia	fecha_calificacion
1	2	Parcialmente	No	Quiere expandir mercado	Sí	Parcialmente	No	$5,000-$20,000		Latinoamérica	Manufacturers	2026-01-19 22:16:18
2	3	Sí	Sí	Quiere capacitación	Sí	Parcialmente	No	$5,000-$20,000	Parcialmente	Asia-Pacífico	Attraction	2026-01-05 19:17:48
3	4	No	Parcialmente	Necesita certificación	Parcialmente	Sí	No	< $5,000	No	Norteamérica	Manufacturers	2026-02-03 19:09:38
4	5	Sí	Parcialmente	Busca proveedores	No	Sí	No	$5,000-$20,000	Parcialmente	Europa	Attraction	2026-01-31 22:43:48
5	6	Parcialmente	No	Busca networking	Sí	Parcialmente	No	< $5,000	Parcialmente	Latinoamérica	Individuals	2026-02-11 23:13:45
6	7	Parcialmente	Parcialmente	Quiere expandir mercado	Sí	Sí	Sí	> $50,000		Asia-Pacífico	Individuals	2026-01-16 12:21:52
7	9	Sí	Sí	Necesita certificación	Sí	Sí	Sí	$20,000-$50,000		Europa	Individuals	2026-02-09 00:36:26
8	13	Sí	Sí	Busca proveedores	Sí	Sí	Sí	< $5,000		Europa	Manufacturers	2026-02-02 00:03:15
9	14	No	Sí	Quiere capacitación	Sí	Parcialmente	Parcialmente	> $50,000		Norteamérica	Manufacturers	2026-01-16 12:12:20
10	16	No	No	Busca membresía	No	No	Sí	$20,000-$50,000	No	Europa	Manufacturers	2026-02-02 16:23:04
11	17	Sí	No	Quiere capacitación	No	Sí	No	< $5,000	Sí	Norteamérica	Manufacturers	2026-01-17 10:09:17
12	18	Sí	Sí	Quiere expandir mercado	Sí	Parcialmente	Sí	$5,000-$20,000	No	Europa	Manufacturers	2026-02-01 10:14:04
13	19	Sí	No	Necesita CRM	Sí	Sí	No	< $5,000	Sí	Asia-Pacífico	Attraction	2026-02-11 08:08:20
14	20	No	Sí	Busca membresía	Parcialmente	Parcialmente	No	< $5,000	Sí	Norteamérica	Attraction	2026-01-15 06:42:23
15	21	Parcialmente	Parcialmente	Necesita CRM	Sí	Sí	Sí	> $50,000	Parcialmente	Europa	Manufacturers	2026-01-19 01:14:27
16	22	Parcialmente	No	Necesita CRM	No	No	Parcialmente	> $50,000	Sí	Norteamérica	Manufacturers	2026-01-23 01:29:45
17	23	Sí	No	Busca networking	No	No	Sí	$20,000-$50,000	No	Norteamérica	Individuals	2026-02-09 00:43:03
18	24	Sí	Sí	Busca proveedores	Sí	No	Sí	$5,000-$20,000	No	Norteamérica	Manufacturers	2026-01-08 01:14:24
19	26	Sí	Sí	Quiere capacitación	Sí	Parcialmente	Parcialmente	$20,000-$50,000		Latinoamérica	Manufacturers	2026-01-22 20:37:15
20	28	Sí	Parcialmente	Busca proveedores	Sí	No	Sí	$5,000-$20,000	Sí	Asia-Pacífico	Manufacturers	2026-02-01 21:09:25
21	29	Sí	Sí	Necesita CRM	Sí	No	Parcialmente	> $50,000	Sí	Latinoamérica	Attraction	2026-01-12 17:35:10
