id_interaccion	id_lead	id_deal	id_vendedor	tipo_interaccion	resultado	numero_toque	timestamp	duracion_seg	notas
1	1		2	WhatsApp	Contesto	1	2026-02-02 22:05:45		
2	1		2	WhatsApp	No Contesto	2	2026-02-02 12:47:10		Llamada breve, pide callback
3	2		2	WhatsApp	Contesto	1	2026-01-10 10:39:12		
4	2		2	WhatsApp	No Contesto	2	2026-01-11 20:54:42		
5	2		2	Correo	No Contesto	3	2026-01-10 15:35:37		
6	2		2	Correo	No Contesto	4	2026-01-11 22:53:31		Llamada breve, pide callback
7	3		4	Correo	No Contesto	1	2026-01-29 05:06:29		
8	3		4	Telefono	No Contesto	2	2026-01-27 17:23:57		
9	3		4	WhatsApp	No Contesto	3	2026-01-26 23:44:35		
10	3		4	Telefono	Contesto	4	2026-01-19 03:17:19	596	Positivo, agenda follow-up
11	3		4	WhatsApp	No Contesto	5	2026-01-28 07:46:02		
12	4		3	WhatsApp	No Contesto	1	2026-01-28 06:39:23		
13	4		3	Telefono	No Contesto	2	2026-01-28 12:03:42		
14	5		5	Correo	No Contesto	1	2026-02-02 19:37:55		Línea ocupada
15	5		5	WhatsApp	No Contesto	2	2026-01-28 00:08:58		
16	5		5	WhatsApp	No Contesto	3	2026-02-02 02:34:25		
17	5		5	Correo	Contesto	4	2026-01-26 11:05:01		Positivo, agenda follow-up
18	5		5	Telefono	No Contesto	5	2026-01-26 13:12:16		
19	5		5	WhatsApp	No Contesto	6	2026-01-29 23:53:39		
20	5		5	WhatsApp	No Contesto	7	2026-02-01 04:55:07		Buzón de voz
21	6		3	Correo	No Contesto	1	2026-01-30 10:19:39		
22	6		3	Correo	No Contesto	2	2026-02-03 20:43:48		Llamada breve, pide callback
23	6		3	Telefono	No Contesto	3	2026-02-02 21:04:25		
24	6		3	Telefono	No Contesto	4	2026-02-02 02:57:53		
25	6		3	WhatsApp	No Contesto	5	2026-02-01 09:14:46		
26	6		3	Correo	No Contesto	6	2026-02-01 06:48:45		
27	6		3	Correo	No Contesto	7	2026-02-02 20:31:00		
28	7		1	Correo	No Contesto	1	2026-01-28 19:30:52		
29	7		1	Correo	No Contesto	2	2026-01-15 12:48:48		
30	9		2	WhatsApp	No Contesto	1	2026-02-05 07:16:36		
31	9		2	Telefono	Contesto	2	2026-02-09 07:18:48	540	
32	9		2	Telefono	No Contesto	3	2026-02-05 15:31:48		
33	9		2	Telefono	Contesto	4	2026-02-08 02:47:56	36	Respondió bien, buen perfil
34	9		2	WhatsApp	Contesto	5	2026-02-02 16:22:28		Confirmó interés
35	10		4	WhatsApp	No Contesto	1	2026-01-30 11:33:04		
36	10		4	WhatsApp	No Contesto	2	2026-01-30 19:35:06		
37	10		4	WhatsApp	No Contesto	3	2026-02-04 05:00:46		
38	10		4	WhatsApp	No Contesto	4	2026-01-30 12:03:37		
39	10		4	WhatsApp	No Contesto	5	2026-02-05 22:04:48		
40	11		1	Telefono	No Contesto	1	2026-01-13 15:38:03		
41	11		1	WhatsApp	Contesto	2	2026-01-17 01:07:22		Disponible siguiente semana
42	11		1	Telefono	No Contesto	3	2026-01-16 19:24:03		
43	12		4	WhatsApp	No Contesto	1	2026-01-17 11:08:50		
44	12		4	WhatsApp	No Contesto	2	2026-01-12 21:07:55		Línea ocupada
45	12		4	Correo	No Contesto	3	2026-01-08 14:11:56		
46	12		4	WhatsApp	No Contesto	4	2026-01-18 17:47:47		
47	12		4	WhatsApp	No Contesto	5	2026-01-14 09:46:08		
48	12		4	WhatsApp	No Contesto	6	2026-01-11 07:34:44		
49	12		4	Telefono	No Contesto	7	2026-01-16 11:50:00		
50	13		2	WhatsApp	Contesto	1	2026-01-29 21:04:22		Disponible siguiente semana
51	13		2	Telefono	Contesto	2	2026-02-04 10:22:04	193	Respondió bien, buen perfil
52	13		2	WhatsApp	Contesto	3	2026-02-09 16:51:45		
53	14		4	Correo	Contesto	1	2026-01-10 02:23:17		
54	14		4	Telefono	No Contesto	2	2026-01-10 16:42:48		Buzón de voz
55	14		4	WhatsApp	No Contesto	3	2026-01-11 00:18:01		
56	14		4	Correo	No Contesto	4	2026-01-11 12:12:20		
57	14		4	Telefono	No Contesto	5	2026-01-12 00:12:20		
58	15		5	WhatsApp	Contesto	1	2026-01-17 10:05:15		
59	16		3	WhatsApp	Contesto	1	2026-02-10 20:21:06		
60	17		1	Telefono	No Contesto	1	2026-01-18 01:55:19		
61	17		1	WhatsApp	No Contesto	2	2026-01-28 04:43:14		
62	17		1	WhatsApp	No Contesto	3	2026-01-22 07:46:02		
63	17		1	WhatsApp	No Contesto	4	2026-01-28 07:19:59		
64	18		4	Correo	Contesto	1	2026-01-26 16:44:53		
65	18		4	WhatsApp	No Contesto	2	2026-01-29 12:58:20		
66	18		4	Telefono	Contesto	3	2026-01-29 19:10:18	63	
67	18		4	Correo	Contesto	4	2026-01-30 07:32:38		Respondió bien, buen perfil
68	18		4	WhatsApp	Contesto	5	2026-01-29 15:52:08		Disponible siguiente semana
69	19		2	Telefono	Contesto	1	2026-02-16 00:24:58	340	Buena conversación, agenda demo
70	19		2	WhatsApp	Contesto	2	2026-02-18 19:31:16		Confirmó interés
71	19		2	Correo	Contesto	3	2026-02-22 13:37:29		Disponible siguiente semana
72	20		3	Telefono	Contesto	1	2026-01-16 11:00:43	347	
73	20		3	Correo	No Contesto	2	2026-01-16 19:32:47		
74	20		3	Correo	Contesto	3	2026-01-09 03:24:05		
75	20		3	WhatsApp	No Contesto	4	2026-01-17 04:18:40		Línea ocupada
76	21		1	WhatsApp	No Contesto	1	2026-01-23 11:51:59		
