id_log	timestamp	entidad	id_entidad	usuario	campo_modificado	valor_anterior	valor_nuevo
1	2026-02-01 22:53:03	Lead	1	sofia.martinez@swatsquad.com	Status	Nuevo	Duplicado
2	2026-01-08 13:16:18	Lead	2	sofia.martinez@swatsquad.com	Status	Nuevo	Contactado
3	2026-01-10 00:16:18	Lead	2	maria.torres@swatsquad.com	Status	Contactado	En Seguimiento
4	2026-01-02 19:17:48	Lead	3	lucia.herrera@swatsquad.com	Status	Nuevo	Contactado
5	2026-01-05 13:17:48	Lead	3	carlos.lopez@swatsquad.com	Status	Contactado	En Seguimiento
6	2026-01-28 08:09:38	Lead	4	maria.torres@swatsquad.com	Status	Nuevo	Contactado
7	2026-01-29 23:09:38	Lead	4	maria.torres@swatsquad.com	Status	Contactado	Perdido
8	2026-01-31 19:09:38	Lead	4	maria.torres@swatsquad.com	Calidad de Contacto	Sin Calificar	Regular
9	2026-01-24 16:43:48	Lead	5	pedro.mendez@swatsquad.com	Status	Nuevo	Contactado
10	2026-01-26 16:43:48	Lead	5	sofia.martinez@swatsquad.com	Status	Contactado	Perdido
11	2026-01-30 22:43:48	Lead	5	pedro.mendez@swatsquad.com	Calidad de Contacto	Sin Calificar	Malo
12	2026-01-29 18:13:45	Lead	6	sofia.martinez@swatsquad.com	Status	Nuevo	Contactado
13	2026-02-02 01:13:45	Lead	6	ana.garcia@swatsquad.com	Status	Contactado	Perdido
14	2026-01-15 20:21:52	Lead	7	ana.garcia@swatsquad.com	Status	Nuevo	Contactado
15	2026-01-17 12:21:52	Lead	7	ana.garcia@swatsquad.com	Status	Contactado	En Seguimiento
16	2026-01-29 06:36:26	Lead	9	ana.garcia@swatsquad.com	Status	Nuevo	Contactado
17	2026-01-28 16:36:26	Lead	9	roberto.silva@swatsquad.com	Status	Contactado	En Seguimiento
18	2026-01-28 18:36:26	Lead	9	ana.garcia@swatsquad.com	Status	En Seguimiento	Calificado
19	2026-01-30 14:23:29	Lead	10	pedro.mendez@swatsquad.com	Status	Nuevo	Contactado
20	2026-02-01 23:23:29	Lead	10	pedro.mendez@swatsquad.com	Status	Contactado	Perdido
21	2026-01-12 23:42:10	Lead	11	ana.garcia@swatsquad.com	Status	Nuevo	Contactado
22	2026-01-14 13:42:10	Lead	11	pedro.mendez@swatsquad.com	Status	Contactado	Perdido
23	2026-01-05 17:38:45	Lead	12	ana.garcia@swatsquad.com	Status	Nuevo	Contactado
24	2026-01-08 06:38:45	Lead	12	pedro.mendez@swatsquad.com	Status	Contactado	Perdido
25	2026-01-19 12:03:15	Lead	13	sofia.martinez@swatsquad.com	Status	Nuevo	Contactado
26	2026-01-20 12:03:15	Lead	13	carlos.lopez@swatsquad.com	Status	Contactado	En Seguimiento
27	2026-01-22 03:03:15	Lead	13	sofia.martinez@swatsquad.com	Status	En Seguimiento	Calificado
28	2026-01-22 00:03:15	Lead	13	lucia.herrera@swatsquad.com	Calidad de Contacto	Sin Calificar	Excelente
29	2026-01-10 23:12:20	Lead	14	carlos.lopez@swatsquad.com	Status	Nuevo	Contactado
